Country,State,AreaName,population,male,female
United States,AL,Alabama,4830620,2341093,2489527
United States,AK,Alaska,733375,384160,349215
United States,GA,Georgia,10006693,4883331,5123362
United States,HI,Hawaii,1406299,709871,696428
United States,ID,Idaho,1616547,810464,806083
United States,IL,Illinois,12873761,6316899,6556862
United States,IN,Indiana,6568645,3235263,3333382
United States,IA,Iowa,3093526,1534595,1558931
United States,KS,Kansas,2892987,1439862,1453125
United States,KY,Kentucky,4397353,2164208,2233145
United States,LA,Louisiana,4625253,2261156,2364097
United States,ME,Maine,1329100,650081,679019
United States,AZ,Arizona,6641928,3299088,3342840
United States,MD,Maryland,5930538,2872643,3057895
United States,MA,Massachusetts,6705586,3249650,3455936
United States,MI,Michigan,9900571,4861973,5038598
United States,MN,Minnesota,5419171,2692166,2727005
United States,MS,Mississippi,2988081,1451723,1536358
United States,MO,Missouri,6045448,2964003,3081445
United States,MT,Montana,1014699,510163,504536
United States,NE,Nebraska,1869365,929606,939759
United States,NV,Nevada,2798636,1407735,1390901
United States,NH,New Hampshire,1324201,653484,670717
United States,AR,Arkansas,2958208,1451913,1506295
United States,NJ,New Jersey,8904413,4343027,4561386
United States,NM,New Mexico,2084117,1032414,1051703
United States,NY,New York,19673174,9541801,10131373
United States,NC,North Carolina,9845333,4795408,5049925
United States,ND,North Dakota,721640,367963,353677
United States,OH,Ohio,11575977,5662893,5913084
United States,OK,Oklahoma,3849733,1906944,1942789
United States,OR,Oregon,3939233,1948453,1990780
United States,PA,Pennsylvania,12779559,6245344,6534215
United States,PR,Puerto Rico,3583073,1713860,1869213
United States,CA,California,38421464,19087135,19334329
United States,RI,Rhode Island,1053661,510388,543273
United States,SC,South Carolina,4777576,2322409,2455167
United States,SD,South Dakota,843190,423477,419713
United States,TN,Tennessee,6499615,3167756,3331859
United States,TX,Texas,26538614,13171316,13367298
United States,UT,Utah,2903379,1459229,1444150
United States,VT,Vermont,626604,308573,318031
United States,VA,Virginia,8256630,4060948,4195682
United States,WA,Washington,6985464,3487725,3497739
United States,WV,West Virginia,1851420,913631,937789
United States,CO,Colorado,5278906,2648667,2630239
United States,WI,Wisconsin,5742117,2851385,2890732
United States,WY,Wyoming,579679,295561,284118
United States,CT,Connecticut,3593222,1751607,1841615
United States,DC,District of Columbia,647484,306674,340810
United States,DE,Delaware,926454,448413,478041
United States,FL,Florida,19645772,9600009,10045763
